ts,pluv_deltaMM
1647907200000000000,0.0
1647993600000000000,0.0
1648080000000000000,0.0
1648166400000000000,0.0
1648252800000000000,0.0
1648339200000000000,0.0
1648425600000000000,0.0
1648512000000000000,0.0
1648598400000000000,10.0
1648684800000000000,0.0
1648771200000000000,0.0
1648857600000000000,0.0
1648944000000000000,0.0
1649030400000000000,0.0
1649116800000000000,0.0
1649203200000000000,0.0
1649289600000000000,0.0
1649376000000000000,0.0
1649462400000000000,0.0
1649548800000000000,0.0
1649635200000000000,6.799999999999999
1649721600000000000,0.0
1649808000000000000,0.0
1649894400000000000,0.0
1649980800000000000,0.0
1650067200000000000,0.0
1650153600000000000,0.0
1650240000000000000,0.0
1650326400000000000,0.0613240418118467
1650412800000000000,0.032167832167832165
1650499200000000000,0.0
1650585600000000000,0.0
1650672000000000000,0.13426573426573427
1650758400000000000,0.0
1650844800000000000,0.0
1650931200000000000,0.0
1651017600000000000,0.058741258741258746
1651104000000000000,0.0
1651190400000000000,0.0
1651276800000000000,0.0
1651363200000000000,0.0
1651449600000000000,0.0
1651536000000000000,0.0
1651622400000000000,0.0
1651708800000000000,0.0
1651795200000000000,0.0
1651881600000000000,0.0
1651968000000000000,0.0
1652054400000000000,0.0
1652140800000000000,0.0
1652227200000000000,0.0
1652313600000000000,0.006993006993006993
1652400000000000000,0.0
1652486400000000000,0.0
1652572800000000000,0.0
1652659200000000000,0.0
1652745600000000000,0.0
1652832000000000000,0.0
1652918400000000000,0.0
1653004800000000000,0.0
1653091200000000000,0.0
1653177600000000000,0.0
1653264000000000000,0.0
1653350400000000000,0.0
1653436800000000000,0.0
1653523200000000000,0.0
1653609600000000000,0.0
1653696000000000000,0.0
1653782400000000000,0.0
1653868800000000000,0.0
1653955200000000000,0.0
1654041600000000000,0.0
1654128000000000000,0.0
1654214400000000000,0.0
1654300800000000000,0.0
1654387200000000000,0.0
1654473600000000000,0.0
1654560000000000000,0.0
1654646400000000000,0.0
1654732800000000000,0.0
1654819200000000000,0.0
1654905600000000000,0.0
1654992000000000000,0.0
1655078400000000000,0.0
1655164800000000000,0.0
1655251200000000000,0.0
1655337600000000000,0.0
1655424000000000000,0.0
1655510400000000000,0.0
1655596800000000000,0.0
1655683200000000000,0.0
1655769600000000000,0.0
1655856000000000000,0.0
1655942400000000000,0.0
1656028800000000000,0.0
1656115200000000000,0.0
1656201600000000000,0.0
1656288000000000000,0.0
1656374400000000000,0.0
1656460800000000000,0.0
1656547200000000000,0.0
1656633600000000000,0.0
1656720000000000000,0.0
1656806400000000000,0.0
1656892800000000000,0.0
1656979200000000000,0.0
1657065600000000000,0.0
1657152000000000000,0.0
1657238400000000000,0.0
1657324800000000000,0.0
1657411200000000000,0.0
1657497600000000000,0.0
1657584000000000000,0.0
1657670400000000000,0.0
1657756800000000000,0.0
1657843200000000000,0.0
1657929600000000000,0.0
1658016000000000000,0.0
1658102400000000000,0.0
1658188800000000000,0.0
1658275200000000000,0.0
1658361600000000000,0.0
1658448000000000000,0.0
1658534400000000000,0.0
1658620800000000000,0.0
1658707200000000000,0.0
1658793600000000000,0.0
1658880000000000000,0.0
1658966400000000000,0.0
1659052800000000000,0.0
1659139200000000000,0.0
1659225600000000000,0.0
1659312000000000000,0.0
1659398400000000000,0.0
1659484800000000000,0.0
1659571200000000000,0.0
1659657600000000000,0.0
1659744000000000000,0.0
1659830400000000000,0.0
1659916800000000000,0.0
1660003200000000000,0.0
1660089600000000000,0.0
1660176000000000000,0.0
1660262400000000000,0.0
1660348800000000000,0.0
1660435200000000000,0.0
1660521600000000000,0.0
1660608000000000000,0.0
1660694400000000000,0.0
1660780800000000000,0.0
1660867200000000000,0.0
1660953600000000000,0.0
1661040000000000000,0.0
1661126400000000000,0.0
1661212800000000000,0.0
1661299200000000000,0.0
1661385600000000000,0.0
1661472000000000000,0.0
1661558400000000000,0.0
1661644800000000000,0.0
1661731200000000000,0.0
1661817600000000000,0.0
1661904000000000000,0.0
1661990400000000000,0.0
1662076800000000000,0.0
1662163200000000000,0.0
1662249600000000000,0.0
1662336000000000000,0.0
1662422400000000000,0.0
1662508800000000000,0.0
1662595200000000000,0.0
1662681600000000000,0.0
1662768000000000000,0.0
1662854400000000000,0.0
1662940800000000000,0.0
1663027200000000000,0.0
1663113600000000000,0.0
1663200000000000000,0.0
1663286400000000000,0.0
1663372800000000000,0.0
1663459200000000000,0.0
1663545600000000000,0.0
1663632000000000000,0.0
1663718400000000000,0.0
1663804800000000000,0.0
1663891200000000000,0.0
1663977600000000000,0.0
1664064000000000000,0.0
1664150400000000000,0.0
1664236800000000000,0.0
1664323200000000000,0.0
1664409600000000000,6.0
1664496000000000000,0.0
1664582400000000000,0.0
