ts,t_ext,h_ext,t_C_cal,h_C_cal,t_L_cal,h_L_cal
1652195843162000000,30.7,21.9,18.8,10.71,16.3,35.54
1652195540410000000,32.1,20.3,18.7,10.71,16.3,35.54
1652195236789000000,32.1,19.8,18.6,11.07,16.3,35.95
1652194933978000000,32.3,19.5,18.6,11.07,16.3,35.54
1652194630487000000,31.7,21.3,18.5,11.43,16.3,35.54
1652194327604000000,31.4,21.7,18.3,11.43,16.2,35.54
1652194024450000000,31.7,21.7,18.3,10.71,16.2,35.95
1652193721270000000,31.9,20.0,18.2,11.07,16.2,35.54
1652193418421000000,31.8,20.2,18.1,11.07,16.2,35.95
1652193114965000000,31.6,21.2,18.0,11.07,16.2,35.95
1652192811293000000,31.8,19.5,18.0,10.71,16.2,35.95
1652192507794000000,32.2,18.8,17.9,11.07,16.2,35.54
1652192230402000000,31.9,21.1,17.8,11.43,16.1,35.95
1652191915817000000,32.2,18.7,17.8,11.43,16.1,35.95
1652191596859000000,32.2,17.3,17.7,10.71,16.1,35.54
1652191293115000000,31.5,19.3,17.6,11.43,16.1,35.54
1652190989894000000,32.4,16.6,17.5,11.43,16.1,35.95
1652190686176000000,32.7,17.6,17.5,11.43,16.1,35.54
1652190382956000000,32.6,18.3,17.4,11.43,16.1,35.54
1652190079974000000,31.9,19.8,17.3,11.43,16.1,35.54
1652189776459000000,32.4,19.4,17.3,11.43,16.0,35.54
1652189473318000000,32.3,19.3,17.2,11.43,16.0,35.95
1652189170371000000,32.5,19.9,17.1,11.43,16.0,35.95
1652188866828000000,32.2,22.7,17.1,11.79,16.0,35.95
1652188563265000000,32.0,20.5,17.0,11.79,16.0,35.95
1652188259774000000,32.3,19.5,16.9,12.14,16.0,35.95
1652187956963000000,32.6,19.4,16.9,12.14,16.0,35.95
1652187653201000000,32.3,17.4,16.8,12.14,16.0,35.54
1652187349963000000,32.9,18.2,16.8,12.14,16.0,35.95
1652187046665000000,33.3,18.1,16.7,12.14,16.0,35.95
1652186750282000000,33.2,17.5,16.7,12.14,16.0,35.95
1652186439408000000,32.6,18.3,16.6,12.14,16.0,35.54
1652186143611000000,31.9,19.7,16.5,12.14,16.0,35.95
1652185833594000000,32.1,19.6,16.5,12.14,15.9,35.95
1652185530618000000,31.8,17.9,16.4,12.14,15.9,35.95
1652185227161000000,33.1,16.9,16.4,12.14,15.9,35.54
1652184923745000000,33.0,16.3,16.4,12.14,15.9,35.95
1652184620494000000,31.6,18.5,16.3,12.14,15.9,35.95
1652184318043000000,31.2,17.5,16.3,12.14,15.9,35.54
1652184014936000000,32.0,16.6,16.2,12.14,15.9,35.95
1652183711580000000,31.9,17.3,16.2,12.14,15.9,35.95
1652183408477000000,30.5,18.5,16.1,12.14,15.9,35.95
1652183105014000000,30.8,18.1,16.1,12.14,15.9,35.54
1652182801584000000,32.2,17.1,16.1,12.14,15.9,35.95
1652182498492000000,31.7,16.8,16.0,12.14,15.9,35.95
1652182195263000000,32.6,16.5,16.0,12.14,15.9,35.54
1652181891921000000,31.3,18.1,16.0,12.14,15.9,35.95
1652181588556000000,30.1,17.1,15.9,12.14,15.9,35.54
1652181285477000000,30.6,18.0,15.9,12.14,15.9,35.95
1652180982840000000,30.8,20.2,15.9,12.5,15.9,35.95
